lemma,Count,part_of_speech,hyponyms
acoustic device,15,noun,bell;birdcall;hearing aid;megaphone;mouthpiece;mute;silencer;siren;slapstick;speaking trumpet;whistle
acoustic gramophone,19,noun,victrola
acoustic phenomenon,19,noun,distortion;projection
acoustic spectrum,17,noun,speech spectrum
acoustic wave,13,noun,air wave
acoustics,9,noun,harmonics;phonetics
acquaint,8,verb,introduce;present;reintroduce|get into;orient;reacquaint;verse
acquaintance,12,noun,bunkmate;campmate;connection;end man;homeboy;messmate;pickup;schoolmate
acquainted,10,verb,introduce;present;reintroduce|get into;orient;reacquaint;verse
acquiesce,9,verb,connive
acquiescence,12,noun,acceptance;concession
acquire,7,verb,accept;acquire;borrow;buy;buy;capture;catch;collect;come by;earn;enter upon;find;find;gain;get;glom;inherit;isolate;lease;line up;obtain;partake;pick up;poll;preempt;preempt;press out;profit;receive;reclaim;recover;recover;turn;win back|re-assume|cut;fledge;leaf;pod;pupate;regrow;spring;sprout;stool;teethe;work up|cozen|absorb;catch up;relearn;study
acquired,8,verb,accept;acquire;borrow;buy;buy;capture;catch;collect;come by;earn;enter upon;find;find;gain;get;glom;inherit;isolate;lease;line up;obtain;partake;pick up;poll;preempt;preempt;press out;profit;receive;reclaim;recover;recover;turn;win back|re-assume|cut;fledge;leaf;pod;pupate;regrow;spring;sprout;stool;teethe;work up|cozen|absorb;catch up;relearn;study
acquired immunity,17,noun,active immunity;passive immunity
acquired reflex,15,noun,conditioned avoidance
acquirement,11,noun,craft;horsemanship;literacy;marksmanship;mastership;mixology;numeracy;oarsmanship;salesmanship;seamanship;showmanship;soldiering;swordsmanship
acquirer,8,noun,appropriator;procurer;recipient
acquiring,9,noun,acquisition;appropriation;capture;catching;obtainment;occupation;pickup;reception
acquiring,9,verb,accept;acquire;borrow;buy;buy;capture;catch;collect;come by;earn;enter upon;find;find;gain;get;glom;inherit;isolate;lease;line up;obtain;partake;pick up;poll;preempt;preempt;press out;profit;receive;reclaim;recover;recover;turn;win back|re-assume|cut;fledge;leaf;pod;pupate;regrow;spring;sprout;stool;teethe;work up|cozen|absorb;catch up;relearn;study
acquisition,11,noun,acceptance;annexation;assumption;buyout;incurring;inheritance;moneymaking;pork-barreling;procurement;purchase;restitution;succession|accession;gift;purchase|conditioning;developmental learning;digestion;education;imprinting;internalization;language learning;memorization;study;transfer|craft;horsemanship;literacy;marksmanship;mastership;mixology;numeracy;oarsmanship;salesmanship;seamanship;showmanship;soldiering;swordsmanship
acquisitiveness,15,noun,bibliomania;retentiveness
acquit,6,verb,purge;vindicate;whitewash|assert;deal;fluster;pose;walk around
acquitted,9,verb,purge;vindicate;whitewash|assert;deal;fluster;pose;walk around
acres,5,noun,barony;countryseat;crown land;entail;fief;freehold;glebe;hacienda;homestead;leasehold;manor;plantation;seigneury;smallholding
acridid,7,noun,locust
acrobat,7,noun,aerialist;balancer;circus acrobat;contortionist;funambulist
acrobatic feat,14,noun,back circle;backbend;cartwheel;handspring;headstand;split;tumble;walkover
acrobatic stunt,15,noun,back circle;backbend;cartwheel;handspring;headstand;split;tumble;walkover
acrobatics,10,noun,tailspin
acrylate resin,14,noun,polymethyl methacrylate;polypropenonitrile
acrylic,7,noun,polymethyl methacrylate;polypropenonitrile|courtelle;orlon
acrylic resin,13,noun,polymethyl methacrylate;polypropenonitrile
act,3,noun,decree;legislative act;nullity|acquiring;action;activity;assumption;causing;communication;delivery;departure;derivation;discovery;disposal;distribution;egress;equalization;exhumation;forfeit;group action;hindrance;hire;implementation;inactivity;judgment;leaning;legitimation;mitzvah;motivation;nonaccomplishment;proclamation;production;propulsion;recovery;rejection;residency;running away;speech act;stay;stop;touch;waste;wear|show-stopper
act,3,verb,act on;alternate;antagonize;anticipate;attack;begin;behave;behave;coact;come close;come to the fore;condescend;condescend;condescend;continue;continue;continue;cope;court;create;dally;dare;deal;dispatch;do well;effect;egotrip;evade;exert;finish up;force;get around to;go;go ahead;go off half-cocked;guard;interact;interrupt;lord it over;make a point;make bold;maneuver;misbehave;participate;partner;perform;perpetrate;play;play;play it by ear;prosecute;prosecute;race;rampage;react;react;reciprocate;repeat;reward;rush;satisfice;set about;sneak;stampede;surprise;take;take care;take time by the forelock;try;use;volunteer;wait;woo|act;act involuntarily;backslap;break down;bungle;dally;fall over backwards;follow;footle;freeze;frivol;hugger mugger;joke;make;make;make as if;menace;optimize;piffle;play;presume;quack;ramp;relax;romanticize;sauce;sentimentalise;stooge;swagger;swell;vulgarize;wanton|act out;emote;enact;impersonate;make;parody;support|bank;criticize|drive around;play;walk around|simulate|mime;overact;stooge;underact
act involuntarily,17,verb,blink;fart;salivate;sneeze
act of terrorism,16,noun,bioterrorism;chemical terrorism;cyber-terrorism;domestic terrorism;ecoterrorism;international terrorism;narcoterrorism;nuclear terrorism;state-sponsored terrorism;terrorist attack;theoterrorism
act on,6,verb,run down
act reflexively,15,verb,blink;fart;salivate;sneeze
act upon,8,verb,blackmail;carry;color;dominate;fix;get at;imprint;manipulate;militate;prejudice;swing
acting,6,noun,business;hamming;heroics;impersonation;method acting;mime;portrayal;reenactment;roleplaying;skit
